District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,Start_date
Mohave Valley Elementary District (4379),In Person,3,1026,MOHAVE VALLEY,AZ,2022-12-25
Mohawk Valley Elementary District (4503),In Person,1,141,Roll,AZ,2022-12-25
Morenci Unified District (4230),In Person,3,1492,MORENCI,AZ,2022-12-25
Morristown Elementary District (4251),In Person,1,102,Morristown,AZ,2022-12-25
Murphy Elementary District (4265),In Person,3,1564,PHOENIX,AZ,2022-12-25
Naco Elementary District (4176),In Person,1,315,Naco,AZ,2022-12-25
Navajo County Accommodation District #99 (4386),In Person,1,21,HOLBROOK,AZ,2022-12-25
Nogales Unified District (4457),In Person,11,5654,NOGALES,AZ,2022-12-25
Osborn Elementary District (4262),In Person,6,2854,PHOENIX,AZ,2022-12-25
Tonto Basin Elementary District (4215),In Person,1,70,Tonto Basin,AZ,2022-12-25
Page Unified District (4196),In Person,6,2610,Page,AZ,2022-12-25
Palo Verde Elementary District (4275),In Person,1,458,Palo Verde,AZ,2022-12-25
Palominas Elementary District (4180),In Person,3,957,HEREFORD,AZ,2022-12-25
Paradise Valley Unified District (4241),In Person,44,30999,PHOENIX,AZ,2022-12-25
Parker Unified School District (4510),In Person,6,1931,PARKER,AZ,2022-12-25
Payson Unified District (4209),In Person,6,2447,PAYSON,AZ,2022-12-25
Pearce Elementary District (4186),In Person,1,129,Pearce,AZ,2022-12-25
MAGNOLIA SCHOOL DISTRICT,In Person,5,2788,MAGNOLIA,AR,2022-12-25
RIVERCREST SCHOOL DISTRICT #57,In Person,2,1149,WILSON,AR,2022-12-25
MANILA SCHOOL DISTRICT,In Person,2,1111,MANILA,AR,2022-12-25
TRUMANN SCHOOL DISTRICT,In Person,3,1543,TRUMANN,AR,2022-12-25
DEQUEEN SCHOOL DISTRICT,In Person,5,2382,DE QUEEN,AR,2022-12-25
PALESTINE-WHEATLEY SCH. DIST.,In Person,2,828,PALESTINE,AR,2022-12-25
BENTON COUNTY SCHOOL OF ARTS,In Person,2,1113,ROGERS,AR,2022-12-25
ACADEMICS PLUS CHARTER SCHOOL,In Person,3,1552,MAUMELLE,AR,2022-12-25
IMBODEN CHARTER SCHOOL DISTRICT,In Person,1,58,IMBODEN,AR,2022-12-25
LAFAYETTE COUNTY SCHOOL DISTRICT,In Person,2,545,LEWISVILLE,AR,2022-12-25
CLEVELAND COUNTY SCHOOL DIST.,In Person,2,840,RISON,AR,2022-12-25
CEDAR RIDGE SCHOOL DISTRICT,In Person,2,699,NEWARK,AR,2022-12-25
HILLCREST SCHOOL DISTRICT,In Person,2,471,STRAWBERRY,AR,2022-12-25
DEER/MT. JUDEA SCHOOL DISTRICT,In Person,2,454,DEER,AR,2022-12-25
OUACHITA RIVER SCHOOL DISTRICT,In Person,3,763,MENA,AR,2022-12-25
LISA ACADEMY CHARTER,In Person,7,2825,Little Rock,AR,2022-12-25
OZARK MOUNTAIN SCHOOL DISTRICT,In Person,3,620,ST JOE,AR,2022-12-25
HAAS HALL ACADEMY,In Person,4,1001,FAYETTEVILLE,AR,2022-12-25
TWO RIVERS SCHOOL DISTRICT,In Person,2,872,PLAINVIEW,AR,2022-12-25
LAWRENCE COUNTY SCHOOL DISTRICT,In Person,2,1002,WALNUT RIDGE,AR,2022-12-25
HOPE SCHOOL DISTRICT,In Person,6,2408,HOPE,AR,2022-12-25
HOT SPRINGS SCHOOL DISTRICT,In Person,6,3708,HOT SPRINGS,AR,2022-12-25
JESSIEVILLE SCHOOL DISTRICT,In Person,3,873,JESSIEVILLE,AR,2022-12-25
HOXIE SCHOOL DISTRICT,In Person,2,859,HOXIE,AR,2022-12-25
WEST MEMPHIS SCHOOL DISTRICT,In Person,10,5304,WEST MEMPHIS,AR,2022-12-25
HUNTSVILLE SCHOOL DISTRICT,In Person,6,2304,HUNTSVILLE,AR,2022-12-25
JASPER SCHOOL DISTRICT,In Person,6,891,JASPER,AR,2022-12-25
JONESBORO SCHOOL DISTRICT,In Person,11,6719,JONESBORO,AR,2022-12-25
RIVERVIEW SCHOOL DISTRICT,In Person,4,1232,SEARCY,AR,2022-12-25
LAKE HAMILTON SCHOOL DISTRICT,In Person,6,4467,PEARCY,AR,2022-12-25
LAKESIDE SCHOOL DISTRICT,In Person,4,3570,HOT SPRINGS,AR,2022-12-25
LAMAR SCHOOL DISTRICT,In Person,3,1396,LAMAR,AR,2022-12-25
LITTLE ROCK SCHOOL DISTRICT,In Person,43,23237,LITTLE ROCK,AR,2022-12-25
LONOKE SCHOOL DISTRICT,In Person,4,1725,LONOKE,AR,2022-12-25
MAGAZINE SCHOOL DISTRICT,In Person,2,590,MAGAZINE,AR,2022-12-25
MAGNET COVE SCHOOL DIST.,In Person,2,753,MALVERN,AR,2022-12-25
MALVERN SCHOOL DISTRICT,In Person,4,2009,MALVERN,AR,2022-12-25
MAMMOTH SPRING SCHOOL DISTRICT,In Person,2,520,MAMMOTH SPRING,AR,2022-12-25
MANSFIELD SCHOOL DISTRICT,In Person,3,757,MANSFIELD,AR,2022-12-25
LEE COUNTY SCHOOL DISTRICT,In Person,2,644,MARIANNA,AR,2022-12-25
Farmersville Unified,In Person,6,2530,Farmersville,CA,2022-12-25
Natomas Unified,In Person,18,13767,Sacramento,CA,2022-12-25
Ferndale Unified,In Person,2,455,Ferndale,CA,2022-12-25
Delhi Unified,In Person,5,2580,Delhi,CA,2022-12-25
Riverdale Joint Unified,In Person,4,1559,Riverdale,CA,2022-12-25
Warner Unified,In Person,3,204,Warner Springs,CA,2022-12-25
Scotts Valley Unified,In Person,4,2445,Scotts Valley,CA,2022-12-25
Healdsburg Unified,In Person,4,1414,Healdsburg,CA,2022-12-25
Orland Joint Unified,In Person,6,2231,Orland,CA,2022-12-25
Gonzales Unified,In Person,3,2344,Gonzales,CA,2022-12-25
Tracy Joint Unified,In Person,20,14548,Tracy,CA,2022-12-25
Paso Robles Joint Unified,In Person,12,6869,Paso Robles,CA,2022-12-25
Coast Unified,In Person,4,582,Cambria,CA,2022-12-25
Gridley Unified,In Person,5,2087,Gridley,CA,2022-12-25
Eureka City Schools,In Person,8,3674,Eureka,CA,2022-12-25
Hughson Unified,In Person,6,2095,Hughson,CA,2022-12-25
Riverbank Unified,In Person,6,3012,Riverbank,CA,2022-12-25
Oakdale Joint Unified,In Person,9,5420,Oakdale,CA,2022-12-25
Waterford Unified,In Person,5,1808,Waterford,CA,2022-12-25
Porterville Unified,In Person,22,14514,Porterville,CA,2022-12-25
Albert Einstein Academy Charter Middle District,In Person,1,600,San Diego,CA,2022-12-25
El Camino Real Charter High District,In Person,1,3523,Woodland Hills,CA,2022-12-25
Latino College Preparatory Academy District,In Person,1,433,San Jose,CA,2022-12-25
Grossmont Secondary District,In Person,1,317,El Cajon,CA,2022-12-25
Alisal Union,In Person,12,8524,Salinas,CA,2022-12-25
Venture Academy District,In Person,1,1541,Stockton,CA,2022-12-25
Taylion High Desert Academy/Adelanto District,In Person,1,170,Adelanto,CA,2022-12-25
Knowledge Enlightens You (KEY) Academy District,In Person,1,589,Hayward,CA,2022-12-25
Stone Bridge District,In Person,1,272,Napa,CA,2022-12-25
Allensworth Elementary,In Person,1,82,Allensworth,CA,2022-12-25
Old Town Academy K-8 Charter District,In Person,1,265,San Diego,CA,2022-12-25
Alpaugh Unified,In Person,3,336,Alpaugh,CA,2022-12-25
Summit Public School: Tamalpais District,In Person,1,446,Richmond,CA,2022-12-25
Pacific Springs Charter District,In Person,1,509,Chula Vista,CA,2022-12-25
Luis Valdez Leadership Academy District,In Person,1,346,San Jose,CA,2022-12-25
STEM Preparatory Elementary District,In Person,1,244,Los Angeles,CA,2022-12-25
High Tech Elementary Mesa District,In Person,1,212,San Diego,CA,2022-12-25
KIPP Philosophers Academy District,In Person,1,238,Los Angeles,CA,2022-12-25
Alpine County Unified,In Person,3,70,Markleeville,CA,2022-12-25
Alder Grove Charter School 2 District,In Person,1,449,Eureka,CA,2022-12-25
Bellflower Unified,In Person,15,11405,Bellflower,CA,2022-12-25
Belleview Elementary,In Person,2,177,Sonora,CA,2022-12-25
Belmont-Redwood Shores Elementary,In Person,7,4314,Belmont,CA,2022-12-25
Benicia Unified,In Person,8,4642,Benicia,CA,2022-12-25
Berkeley Unified,In Person,17,9844,Berkeley,CA,2022-12-25
Berryessa Union Elementary,In Person,14,6842,San Jose,CA,2022-12-25
Beverly Hills Unified,In Person,6,3572,Beverly Hills,CA,2022-12-25
Big Pine Unified,In Person,2,150,Big Pine,CA,2022-12-25
Big Springs Union Elementary,In Person,1,175,Montague,CA,2022-12-25
Big Valley Joint Unified,In Person,2,111,Bieber,CA,2022-12-25
Biggs Unified,In Person,3,605,Biggs,CA,2022-12-25
Black Butte Union Elementary,In Person,2,227,Shingletown,CA,2022-12-25
Black Oak Mine Unified,In Person,6,1286,Georgetown,CA,2022-12-25
Blake Elementary,In Person,1,16,Woody,CA,2022-12-25
